trial,amplitude,chi2
232,1.6965257023484135,45.59907750320791
233,1.5534262406518353,52.62979177284894
234,1.4880326272904325,46.03816802964119
235,1.6467185404151483,40.77944929929707
236,1.5118042195433037,40.065713714917266
237,1.2110596326825112,31.23402825055851
238,1.6938893497206573,52.07184366519205
239,1.6687613896369917,36.559040563801034
240,1.72745212242417,51.2501771233285
241,1.6659933857447,28.410256555578968
242,1.583864571009372,36.27581628592435
243,1.8332106673578414,31.24949250184055
244,1.7612109359329233,40.8494717468081
245,1.3583057680758541,44.1706487798979
246,1.7082920522902243,30.86997293663319
247,1.5393370392231396,46.93459289598902
248,1.6111755516214883,44.21716872307878
249,1.5218975541592936,34.74096206280816
250,1.417518361799932,46.35916845033516
251,1.8050203012252526,50.18819929987606
252,1.5506048457616526,46.61857618881386
253,1.115696876629904,47.52100496611003
254,1.48052243463194,33.40817600688284
255,1.4309732803911137,49.73786966119856
256,1.5479534059865965,43.73146269707707
257,1.5770553060537493,39.13234916316717
258,1.5300108440390554,61.11678740955037
259,1.4345597016848075,42.31601446484598
260,1.5947752053503486,40.06184883959026
261,1.6745100982980095,45.79445693632033
262,1.3102513339801456,43.04226412712748
263,1.4258750520829002,42.47415004946532
264,1.4876221603247646,49.56477378856321
265,1.6668392356331632,23.799438986671706
266,1.5272587850874502,32.83736635563132
267,1.41783110674033,37.12378865567766
268,1.726861874971482,44.8843836284275
269,1.6382519378520675,45.43642560354332
270,1.5086364504216254,40.69662977092701
271,1.4661906020274849,26.694549301789465
272,1.7583964073823966,39.072615221809684
273,1.6558572798797648,49.51902334391846
274,1.5595332198142788,36.71261346840532
275,1.7607531263269818,49.5414464550534
276,1.7709451923127748,40.155229187260545
277,1.5998029779153682,50.80541332883294
278,1.4262431896867054,35.422248065685835
279,1.41783110674033,37.12378865567766
280,1.4369256739426832,51.48712027452782
281,1.4098821718410885,49.043464193918524
282,1.4577319472434214,64.49364298030875
283,1.6539636817287855,33.91419434877328
284,1.6380376124805838,47.7778940676765
285,1.59328034869741,53.47720068134133
286,1.8058197953364696,34.49084039740651
287,1.6612581458899813,29.612218255099954
288,1.5640844157640945,48.0410382273564
289,1.49465828227974,36.72966957162828
290,1.5885900905655634,46.47065858955855
291,1.6127288116182092,42.21765023362732
292,1.705014409936485,34.60886375237014
293,1.3007560130568585,45.40774653357599
294,1.650571789103634,30.178929003801684
295,1.8841823889260394,44.356942684829555
296,1.7767541349978981,48.307960458446544
297,1.815993276511413,46.36956653826879
298,1.6078384234162606,39.013539101779074
299,1.465781023137387,48.336544721624854
300,1.75737040730049,37.04861811123951
301,1.5534262406518355,52.62979177284895
302,1.39258116442131,47.145586876247705
303,1.6241053275216,48.50585646222858
304,1.726553593762088,40.796232407704835
305,1.5885900905655637,46.470658589558546
306,1.3858093202089967,30.619661842614505
307,1.6505717891036342,30.178929003801684
308,1.5651636999389409,35.79798425953706
309,1.3895769233390254,47.307470307652025
310,1.68199540055046,30.121800202745348
311,1.6522243946275166,52.908965556545226
312,1.819849117340068,51.033823006783905
313,1.5453376611609282,37.65058894293327
314,1.725026342823048,30.446393166492815
315,1.508636455424623,40.69662977092698
316,1.4879029907690675,41.47411210795152
317,1.4263878833233274,42.209249843580565
318,1.4434149458527619,36.682143810995065
319,1.8197822191921604,44.24392080156335
320,1.578525002787012,48.97009165830207
321,1.5742106152104562,50.764085840599336
322,1.6609255827118654,31.912696959385904
323,1.3951612834315037,45.48886629503208
324,1.6622224556783767,50.907686987915774
325,1.5932776526828154,50.0937952002777
326,1.5797959369594592,43.75848100139051
327,1.8143950163786553,50.49367717154898
328,1.54062484286901,32.60658732027156
329,1.426281256835579,49.42642265020662
330,1.7591455890590515,50.96245533014101
331,1.4838271229296425,58.83092241949457
332,1.5562014838893985,34.8162435062378
333,1.5116006816659469,37.965762947961586
334,1.5940513454574337,36.317383556649034
335,1.3899023582668426,55.413081914070226
336,1.4490387617345075,52.1539036201326
337,1.738676519547096,36.090677169078916
338,1.857575692660526,52.540981689501834
339,1.8124763063165736,53.95380116788398
340,1.8521189972643548,38.17880980891737
341,1.7427808387079269,46.04569409164363
342,1.5134386305020162,55.39390561114796
343,1.5508121722322512,39.08147016580389
344,1.6282280937447804,51.536718358094504
345,1.3920905637667196,46.94941625599773
346,1.4967786567462857,37.43786965741759
347,1.6073223367252298,33.4795242364226
348,1.6872823128039647,56.03206908693329
349,1.5633676610780087,32.51850561970654
